"time_window","accept_rate","request","long_waiting","longwait_percent1","longwait_percent4","longwait_percent2","longwait_percent3","Weather Weight_Longwait_percent4","Weather Weight_Longwait_percent2"
"08 17:00:00","0.80314960629921","127","30","0.34645669291338","0.26929133858268","0.25826771653543","0.23622047244094","0.26929133858268","0.25826771653543"
"08 17:20:00","0.90140845070423","142","38","0.44366197183098","0.32042253521127","0.30281690140845","0.26760563380282","0.32042253521127","0.30281690140845"
"08 17:40:00","0.7741935483871","124","18","0.21774193548387","0.16693548387097","0.15967741935484","0.14516129032258","0.16693548387097","0.15967741935484"
"08 18:00:00","0.80794701986755","151","28","0.25165562913907","0.20529801324503","0.19867549668874","0.18543046357616","0.20529801324503","0.19867549668874"
"08 18:20:00","0.83739837398374","123","19","0.22764227642276","0.17642276422764","0.16910569105691","0.15447154471545","0.17642276422764","0.16910569105691"
"08 18:40:00","0.86614173228346","127","28","0.2992125984252","0.24409448818898","0.23622047244094","0.22047244094488","0.24409448818898","0.23622047244094"
"08 19:00:00","0.8","125","29","0.328","0.2608","0.2512","0.232","0.2608","0.2512"
"08 19:20:00","0.8125","96","19","0.29166666666667","0.22604166666667","0.21666666666667","0.19791666666667","0.22604166666667","0.21666666666667"
"08 19:40:00","0.75471698113207","106","24","0.35849056603773","0.26603773584906","0.25283018867925","0.22641509433962","0.26603773584906","0.25283018867925"
"08 20:00:00","0.69230769230769","91","32","0.49450549450549","0.39450549450549","0.38021978021978","0.35164835164835","0.39450549450549","0.38021978021978"
"08 20:20:00","0.73913043478261","69","26","0.53623188405797","0.42463768115942","0.40869565217391","0.3768115942029","0.42463768115942","0.40869565217391"
"08 20:40:00","0.71875","64","17","0.375","0.2984375","0.2875","0.265625","0.2984375","0.2875"
"09 08:00:00","0.94285714285714","35","8","0.31428571428571","0.25428571428571","0.24571428571428","0.22857142857143","0.25428571428571","0.24571428571428"
"09 08:20:00","0.9375","32","5","0.1875","0.165625","0.1625","0.15625","0.165625","0.1625"
"09 08:40:00","0.91803278688525","61","2","0.032786885245902","0.032786885245902","0.032786885245902","0.032786885245902","0.032786885245902","0.032786885245902"
"09 09:00:00","0.94736842105263","76","3","0.052631578947368","0.043421052631579","0.042105263157895","0.039473684210526","0.043421052631579","0.042105263157895"
"09 09:20:00","0.92857142857143","98","4","0.051020408163265","0.043877551020408","0.042857142857143","0.040816326530612","0.043877551020408","0.042857142857143"
"09 09:40:00","0.97872340425532","94","4","0.053191489361702","0.045744680851064","0.04468085106383","0.042553191489362","0.045744680851064","0.04468085106383"
"09 10:00:00","0.93518518518519","108","2","0.037037037037037","0.024074074074074","0.022222222222222","0.018518518518519","0.024074074074074","0.022222222222222"
